"N_cells"	"ID"	"ParentID"	"Birth_time"	"type"	"mut_den"	"driver_genes"	"passenger_genes"	"PointMut_ID"	"CNA_ID"	"order"
"761"	"127"	"114"	"20"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239"	"0"	"PIK3CA -> APC"
"45"	"158"	"127"	"27"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293"	"0"	"PIK3CA -> APC -> PIK3CA"
"65"	"171"	"158"	"29"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293, 315"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA"
"43"	"199"	"191"	"33"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 353, 367"	"0"	"PIK3CA -> APC -> APC -> APC"
"65"	"207"	"127"	"34"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 383"	"0"	"PIK3CA -> APC -> PIK3CA"
"46"	"208"	"127"	"34"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 385"	"0"	"PIK3CA -> APC -> PIK3CA"
"8"	"230"	"127"	"39"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 423"	"0"	"PIK3CA -> APC -> APC"
"20"	"246"	"127"	"41"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 455"	"0"	"PIK3CA -> APC -> APC"
"4"	"247"	"158"	"41"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293"	"20"	"PIK3CA -> APC -> PIK3CA -> APC"
"20"	"249"	"208"	"41"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 385, 457"	"0"	"PIK3CA -> APC -> PIK3CA -> APC"
"17"	"255"	"127"	"42"	0	0.5	"1 0 0 1"	"0 1 0 0"	"213, 239, 465"	"0"	"PIK3CA -> APC"
"3"	"269"	"127"	"44"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 489"	"0"	"PIK3CA -> APC -> APC"
"1"	"271"	"208"	"44"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 385, 493"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA"
"3"	"281"	"127"	"46"	0	0.5	"1 0 0 1"	"0 1 0 0"	"213, 239, 511"	"0"	"PIK3CA -> APC"
"3"	"285"	"127"	"46"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 519"	"0"	"PIK3CA -> APC -> PIK3CA"
"3"	"286"	"171"	"46"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 521, 293, 315"	"27"	"PIK3CA -> APC -> PIK3CA -> PIK3CA -> APC"
"1"	"297"	"127"	"47"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239"	"29"	"PIK3CA -> APC -> PIK3CA"
"35"	"298"	"127"	"47"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 541"	"0"	"PIK3CA -> APC -> TP53"
"2"	"302"	"199"	"47"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 353, 367, 549"	"0"	"PIK3CA -> APC -> APC -> APC -> APC"
"4"	"303"	"199"	"47"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 353, 367, 551"	"0"	"PIK3CA -> APC -> APC -> APC -> APC"
"5"	"311"	"127"	"48"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 565"	"0"	"PIK3CA -> APC -> PIK3CA"
"8"	"316"	"127"	"48"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 575"	"0"	"PIK3CA -> APC -> APC"
"1"	"319"	"158"	"48"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293, 581"	"0"	"PIK3CA -> APC -> PIK3CA -> APC"
"2"	"323"	"207"	"48"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 383, 589"	"0"	"PIK3CA -> APC -> PIK3CA -> APC"
"3"	"324"	"208"	"48"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 385, 591"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA"
"13"	"331"	"127"	"49"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 605"	"0"	"PIK3CA -> APC -> PIK3CA"
"27"	"332"	"127"	"49"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 607"	"0"	"PIK3CA -> APC -> TP53"
"1"	"333"	"127"	"49"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239"	"31"	"PIK3CA -> APC"
"1"	"335"	"158"	"49"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293, 611"	"0"	"PIK3CA -> APC -> PIK3CA -> APC"
"22"	"338"	"246"	"49"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 455, 617"	"0"	"PIK3CA -> APC -> APC -> TP53"
"3"	"348"	"127"	"50"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 631"	"0"	"PIK3CA -> APC -> APC"
"2"	"352"	"208"	"50"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 385, 639"	"0"	"PIK3CA -> APC -> PIK3CA -> APC"
"2"	"367"	"127"	"51"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 669"	"0"	"PIK3CA -> APC -> PIK3CA"
"4"	"376"	"171"	"51"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 293, 315"	"35"	"PIK3CA -> APC -> PIK3CA -> PIK3CA -> TP53"
"4"	"384"	"127"	"52"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239"	"38"	"PIK3CA -> APC"
"2"	"385"	"127"	"52"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 697"	"0"	"PIK3CA -> APC -> APC"
"2"	"389"	"127"	"52"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 705"	"0"	"PIK3CA -> APC"
"1"	"400"	"127"	"52"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 723"	"0"	"PIK3CA -> APC -> APC"
"7"	"405"	"171"	"52"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 733, 293, 315"	"41"	"PIK3CA -> APC -> PIK3CA -> PIK3CA"
"5"	"406"	"199"	"52"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 353, 367, 735"	"0"	"PIK3CA -> APC -> APC -> APC -> APC"
"3"	"409"	"246"	"52"	0	0.5	"1 0 0 1"	"0 1 0 0"	"213, 239, 455, 739"	"0"	"PIK3CA -> APC -> APC"
"2"	"416"	"127"	"53"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 753"	"0"	"PIK3CA -> APC -> PIK3CA"
"1"	"417"	"127"	"53"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 755"	"0"	"PIK3CA -> APC -> APC"
"3"	"421"	"127"	"53"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 763"	"0"	"PIK3CA -> APC -> APC"
"2"	"428"	"158"	"53"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293, 777"	"0"	"PIK3CA -> APC -> PIK3CA -> APC"
"1"	"434"	"269"	"53"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 489, 787"	"0"	"PIK3CA -> APC -> APC -> APC"
"1"	"437"	"367"	"53"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 669, 791"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA"
"1"	"445"	"127"	"54"	0	0.5	"1 0 0 1"	"0 0 0 1"	"213, 239"	"46"	"PIK3CA -> APC"
"1"	"452"	"127"	"54"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 817"	"0"	"PIK3CA -> APC"
"1"	"455"	"127"	"54"	0	0.5	"1 0 0 1"	"0 0 0 1"	"213, 239, 823"	"0"	"PIK3CA -> APC"
"4"	"457"	"171"	"54"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 293, 315, 827"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA"
"1"	"474"	"127"	"55"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 855"	"0"	"PIK3CA -> APC -> APC"
"1"	"482"	"127"	"55"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 869"	"0"	"PIK3CA -> APC -> APC"
"2"	"491"	"127"	"55"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 885"	"0"	"PIK3CA -> APC -> APC"
"2"	"492"	"127"	"55"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 887"	"0"	"PIK3CA -> APC -> APC"
"1"	"496"	"158"	"55"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293, 893"	"0"	"PIK3CA -> APC -> PIK3CA -> APC"
"4"	"499"	"171"	"55"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293, 315, 899"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA -> APC"
"5"	"500"	"171"	"55"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293, 315, 901"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA -> APC"
"3"	"510"	"208"	"55"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 385, 921"	"0"	"PIK3CA -> APC -> PIK3CA -> APC"
"2"	"524"	"437"	"55"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 669, 791, 949"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA -> APC"
"3"	"539"	"127"	"56"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 979"	"0"	"PIK3CA -> APC -> APC"
"5"	"540"	"127"	"56"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 981"	"0"	"PIK3CA -> APC"
"1"	"547"	"127"	"56"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 995"	"0"	"PIK3CA -> APC -> APC"
