"N_cells"	"ID"	"ParentID"	"Birth_time"	"type"	"mut_den"	"driver_genes"	"passenger_genes"	"PointMut_ID"	"CNA_ID"	"order"
7046	2	0	0	"primary"	0.25	"0 1 0 0"	"0 0 0 0"	"1"	"0"	"KRAS"
3	11	2	3	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1, 11"	"0"	"KRAS"
159	26	2	6	"primary"	0.25	"0 1 0 0"	"0 0 0 0"	"1"	"13"	"KRAS -> KRAS"
171	46	2	11	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1, 45"	"0"	"KRAS -> PIK3CA"
20	51	2	12	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1, 53"	"0"	"KRAS -> APC"
17	59	2	13	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"28"	"KRAS -> APC"
52	64	2	13	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"31"	"KRAS -> APC"
227	74	2	15	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"36"	"KRAS -> PIK3CA"
58	86	2	16	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"43"	"KRAS -> PIK3CA"
6	87	2	17	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1, 85"	"0"	"KRAS"
2	89	2	17	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 87"	"0"	"KRAS"
9	95	2	17	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1"	"49"	"KRAS"
10	103	2	18	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"54"	"KRAS -> PIK3CA"
10	104	2	18	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 97"	"0"	"KRAS"
12	116	2	19	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1, 109"	"0"	"KRAS"
10	117	2	19	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"61"	"KRAS -> PIK3CA"
15	121	2	19	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"63"	"KRAS -> PIK3CA"
78	124	2	20	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"65"	"KRAS -> PIK3CA"
11	126	2	20	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 117"	"0"	"KRAS"
81	132	2	20	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"69"	"KRAS -> PIK3CA"
167	134	2	20	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"71"	"KRAS -> PIK3CA"
10	141	2	21	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1"	"77"	"KRAS"
2	142	2	21	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1"	"78"	"KRAS"
4	147	2	22	"primary"	0.25	"0 1 0 0"	"0 1 0 0"	"1, 129"	"0"	"KRAS"
51	148	2	22	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"82"	"KRAS -> PIK3CA"
16	162	2	23	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"91"	"KRAS -> APC"
2	183	2	25	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"105"	"KRAS -> APC"
1	184	2	25	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 157"	"0"	"KRAS"
6	195	2	26	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"114"	"KRAS -> APC"
8	205	2	27	"primary"	0.25	"0 1 0 0"	"0 1 0 0"	"1, 169"	"0"	"KRAS"
51	209	2	27	"metastatic"	0.5	"0 1 1 0"	"0 0 0 0"	"1, 171"	"0"	"KRAS -> TP53"
10	217	2	27	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1, 179"	"0"	"KRAS -> PIK3CA"
3	223	2	28	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1, 189"	"0"	"KRAS -> APC"
2	227	2	28	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"131"	"KRAS -> APC"
6	228	2	28	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1, 193"	"0"	"KRAS -> PIK3CA"
13	229	2	28	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"132"	"KRAS -> APC"
10	231	2	28	"primary"	0.25	"0 1 0 0"	"0 1 0 0"	"1"	"134"	"KRAS"
6	246	2	29	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1"	"145"	"KRAS"
