Time	N_clones	N_normal_intact	N_normal_speckled	N_primary	N_metastatic	N_point_mutations	N_duplications	N_deletions	TMB_primary	TMB_primary_VAF%5	TMB_primary_VAF%10	TMB_metastatic	TMB_metastatic_VAF%5	TMB_metastatic_VAF%10
1	5	474	0	572	0	3	1	0	20.30698	20.2361	20.2361	0	0	0
2	5	457	0	662	2	4	0	0	22.02998	21.93059	21.93059	74.13998	74.13998	74.13998
3	8	402	0	732	0	5	2	0	24.19029	23.92878	23.92878	0	0	0
4	9	385	1	823	0	6	2	0	25.60251	25.23457	25.23457	0	0	0
5	7	384	0	916	0	3	3	0	26.49078	26.12008	26.12008	0	0	0
6	9	378	0	1040	0	5	3	0	27.58028	27.18814	27.18814	0	0	0
7	16	348	1	1171	0	8	7	0	28.94873	28.53414	28.53414	0	0	0
8	16	318	0	1277	2	9	6	0	30.05109	29.65599	29.65599	37.06999	37.06999	37.06999
9	13	283	0	1447	4	5	7	0	31.19879	31.00594	31.00594	37.06999	37.06999	37.06999
10	12	232	0	1568	5	3	7	1	32.49802	32.29208	32.29208	37.06999	37.06999	37.06999
11	16	217	0	1774	6	7	7	1	33.32761	33.02971	33.02971	37.06999	37.06999	37.06999
12	23	210	0	2036	11	9	11	2	33.85153	33.60396	33.60396	43.80999	43.80999	37.06999
13	28	182	0	2262	22	12	11	4	34.64315	34.30946	34.30946	40.43999	37.06999	37.06999
14	28	158	1	2498	31	15	10	2	35.33996	34.85165	34.85165	39.4616	37.06999	37.06999
15	28	126	2	2806	35	14	11	2	35.99605	35.45276	35.45276	41.30656	41.30656	37.06999
16	26	95	3	3006	38	12	12	1	36.4012	35.89961	35.89961	37.06999	37.06999	37.06999
17	35	75	2	3316	35	16	17	1	36.82963	36.22873	36.22873	37.06999	37.06999	37.06999
18	41	69	2	3589	37	23	15	2	37.02947	36.35087	36.35087	39.07377	37.06999	37.06999
19	41	60	2	3841	40	20	16	4	37.25045	36.48112	36.48112	37.06999	37.06999	37.06999
20	46	41	2	4023	53	26	15	4	37.52584	36.67795	36.67795	37.06999	37.06999	37.06999
21	46	39	1	4379	60	24	18	4	37.52298	36.73444	36.73444	37.06999	37.06999	37.06999
22	50	27	1	4611	60	29	17	4	37.78118	36.84624	36.84624	37.06999	37.06999	37.06999
23	48	18	0	4721	64	26	19	3	37.94609	36.92919	36.92919	37.06999	37.06999	37.06999
24	58	10	0	5008	76	31	25	2	38.22242	36.99611	36.99611	37.06999	37.06999	37.06999
25	57	5	0	5265	84	28	27	3	38.24469	37.03482	37.03482	37.06999	37.06999	37.06999
26	67	4	0	5479	90	32	31	4	38.34104	37.04294	37.04294	37.06999	37.06999	37.06999
27	69	2	0	5706	104	32	31	5	38.45329	37.057	37.057	37.06999	37.06999	37.06999
28	77	2	0	5866	109	39	32	5	38.40294	37.05735	37.05735	37.41008	37.06999	37.06999
29	75	2	0	6124	136	37	33	5	38.49203	37.05789	37.05789	37.06999	37.06999	37.06999
30	79	2	0	6171	162	40	35	5	38.49322	37.06398	37.06398	37.52764	37.06999	37.06999
31	79	1	0	6297	181	42	33	5	38.44142	37.06999	37.06999	37.06999	37.06999	37.06999
32	87	1	0	6534	215	43	40	7	38.48245	37.07566	37.07566	37.06999	37.06999	37.06999
33	94	1	0	6604	246	46	43	8	38.55728	37.0756	37.0756	37.22068	37.06999	37.06999
34	90	0	0	6842	279	43	41	9	38.52743	37.08082	37.08082	37.33572	37.06999	37.06999
35	95	0	0	6933	327	46	44	8	38.4174	37.08603	37.08603	37.41008	37.06999	37.06999
36	93	0	0	7037	385	43	44	10	38.32901	37.09106	37.09106	37.45513	37.06999	37.06999
37	93	0	0	7116	452	42	45	9	38.38275	37.09604	37.09604	37.72609	37.06999	37.06999
38	98	0	0	7260	527	46	46	10	38.3414	37.09552	37.09552	37.84375	37.06999	37.06999
39	100	0	0	7301	606	46	48	10	38.40534	37.10553	37.10553	37.98756	37.06999	37.06999
40	106	0	0	7306	724	45	52	12	38.49576	37.13088	37.13088	38.24763	37.06999	37.06999
